Name,Country,Fuel Type,Basin,Power Capacity (MW),Latitude,Longtitude,Collection ID,L1,L2,L3,L4,L5,L6,L7,L8
CNOOC Zhongshan Jiaming Gas power station,CN,gas,pacific,2410,22.569977,113.572525,1d32fb1a-8751-4e63-8414-108d173a2b14,113.575965,22.573153,113.569086,22.566801,113.569086,22.573153,113.575965,22.566801
CNOOC Zhuhai Gas power station,CN,gas,pacific,920,21.92294,113.220772,929724b3-9d62-4bfa-abf4-dc7fc66f1cd6,113.224196,21.926116,113.217348,21.919764,113.217348,21.926116,113.224196,21.919764
CR GCL Beijing Gas Thermal power station,CN,gas,pacific,150,39.781342,116.502287,5cb54210-d174-4466-b2b5-3e08636560e6,116.50642,39.784518,116.498154,39.778166,116.498154,39.784518,116.50642,39.778166
Daegu CHP power station,KR,gas,pacific,415,35.882469,128.705125,0d0e34e6-9480-4360-ba9b-92a2d79c5552,128.709045,35.885645,128.701205,35.879293,128.701205,35.885645,128.709045,35.879293
Dangjin Combined Cycle power station A,KR,gas,pacific,1200,36.959,126.7825,fa67665a-fdc1-4db5-9ce4-77e85318899f,126.786475,36.962176,126.778525,36.955824,126.778525,36.962176,126.786475,36.955824
Dangjin Combined Cycle power station B,KR,gas,pacific,1200,36.955031,126.783659,1aef7775-2686-48af-9d5f-7411342bed6a,126.787634,36.958207,126.779685,36.951855,126.779685,36.958207,126.787634,36.951855
Datang Baochang Gas power station,CN,gas,pacific,1160,22.707372,114.027049,b60920fe-366c-48ec-a3cf-fa5ce1de5ff2,114.030492,22.710548,114.023606,22.704196,114.023606,22.710548,114.030492,22.704196
Datang Foshan Gas power station,CN,gas,pacific,800,22.907718,112.813399,b9732182-bb13-40f8-b754-71088f331689,112.816847,22.910894,112.809951,22.904542,112.809951,22.910894,112.816847,22.904542
Datang Gaoyao Jintao Gas Thermal power station,CN,gas,pacific,800,23.13353,112.778383,8cc95eb9-fcf1-40e5-a2f4-589ea2c3266a,112.781837,23.136706,112.774929,23.130354,112.774929,23.136706,112.781837,23.130354
Datang Haikou Gas power station,CN,gas,pacific,974,19.913828,110.151883,2a483009-5939-41a5-8cf5-236ca7d1465a,110.155261,19.917004,110.148505,19.910652,110.148505,19.917004,110.155261,19.910652
Datang Jiangshan Xincheng Thermal power station,CN,gas,pacific,240,28.629348,118.529704,d2f6a690-b806-448c-93d8-77e875cf9311,118.533323,28.632524,118.526086,28.626172,118.526086,28.632524,118.533323,28.626172
Datang Jiangyan Gas Thermal power station,CN,gas,pacific,360,32.481428,120.097338,17d50090-c6f8-4685-90f2-ded91187b6d9,120.101103,32.484604,120.093573,32.478252,120.093573,32.484604,120.101103,32.478252
Datang Jintan Gas Thermal power station,CN,gas,pacific,918,31.773087,119.608947,7dba2a5b-cf40-48d8-96c1-6f53026351c5,119.612683,31.776263,119.605211,31.769911,119.605211,31.776263,119.612683,31.769911
Datang Lishui Gas Thermal power station,CN,gas,pacific,200,31.680566,118.999543,f94e6256-a4ef-4b58-bb38-b92ccc767420,119.003275,31.683742,118.995811,31.67739,118.995811,31.683742,119.003275,31.67739
Datang Shaoxing Jiangbin Thermal power station,CN,gas,pacific,904,30.13162,120.692748,176de1b6-1652-40cd-a55b-26162b46f617,120.69642,30.134796,120.689076,30.128444,120.689076,30.134796,120.69642,30.128444
Datang Suzhou Gas Thermal power station,CN,gas,pacific,400,31.037376,120.759901,c189d782-2502-48a7-8ef8-28d28788b507,120.763608,31.040552,120.756194,31.0342,120.756194,31.040552,120.763608,31.0342
Datang Wanning Gas power station,CN,gas,pacific,920,18.913193,110.370316,e93e15f2-6a9c-4548-ae32-6939bfb754f2,110.373673,18.916369,110.366959,18.910017,110.366959,18.916369,110.373673,18.910017
Dongducheon power station ,KR,gas,pacific,1716,37.900824,127.091363,4a049039-58da-468c-956a-986189139537,127.095388,37.904,127.087338,37.897648,127.087338,37.904,127.095388,37.897648
